filename,emotion,windows
03a01Fa.wav,fear,1
03a01Nc.wav,neutral,1
03a01Wa.wav,happy,1
03a02Fc.wav,fear,1
03a02Nc.wav,neutral,0
03a02Ta.wav,sad,1
03a02Wb.wav,happy,1
03a02Wc.wav,happy,1
03a04Ad.wav,angry,1
03a04Fd.wav,fear,1
03a04Lc.wav,boredom,1
03a04Nc.wav,neutral,1
03a04Ta.wav,sad,1
03a04Wc.wav,happy,1
03a05Aa.wav,angry,3
03a05Fc.wav,fear,3
03a05Nd.wav,neutral,3
03a05Tc.wav,sad,3
03a05Wa.wav,happy,3
03a05Wb.wav,happy,3
03a07Fa.wav,fear,1
03a07Fb.wav,fear,2
03a07La.wav,boredom,2
03a07Nc.wav,neutral,1
03a07Wc.wav,happy,1
03b01Fa.wav,fear,2
03b01Lb.wav,boredom,2
03b01Nb.wav,neutral,2
03b01Td.wav,sad,3
03b01Wa.wav,happy,1
03b01Wc.wav,happy,2
03b02Aa.wav,angry,3
03b02La.wav,boredom,3
03b02Na.wav,neutral,2
03b02Tb.wav,sad,5
03b02Wb.wav,happy,3
03b03Nb.wav,neutral,3
03b03Tc.wav,sad,6
03b03Wc.wav,happy,4
03b09La.wav,boredom,3
03b09Nc.wav,neutral,2
03b09Tc.wav,sad,4
03b09Wa.wav,happy,2
03b10Ab.wav,angry,2
03b10Ec.wav,disgust,3
03b10Na.wav,neutral,2
03b10Nc.wav,neutral,2
03b10Wb.wav,happy,1
03b10Wc.wav,happy,2
08a01Ab.wav,angry,1
08a01Fd.wav,fear,2
08a01Lc.wav,boredom,1
08a01Na.wav,neutral,1
08a01Wa.wav,happy,1
08a01Wc.wav,happy,1
08a02Ab.wav,angry,1
08a02Ac.wav,angry,1
08a02Fe.wav,fear,1
08a02La.wav,boredom,1
08a02Na.wav,neutral,1
08a02Tb.wav,sad,3
08a02Wc.wav,happy,1
08a04Ff.wav,fear,1
08a04La.wav,boredom,1
08a04Nc.wav,neutral,1
08a04Tb.wav,sad,4
08a04Wc.wav,happy,1
08a05Fe.wav,fear,3
08a05Lc.wav,boredom,4
08a05Nb.wav,neutral,3
08a05Ta.wav,sad,6
08a05Wa.wav,happy,2
08a07Fd.wav,fear,1
08a07La.wav,boredom,2
08a07Na.wav,neutral,1
08a07Ta.wav,sad,3
08a07Tb.wav,sad,4
08a07Wc.wav,happy,2
08b01Aa.wav,angry,2
08b01Fd.wav,fear,2
08b01Fe.wav,fear,2
08b01Lb.wav,boredom,3
08b01Na.wav,neutral,2
08b01Wa.wav,happy,3
08b02Ff.wav,fear,2
08b02La.wav,boredom,3
08b02Nb.wav,neutral,3
08b02Tc.wav,sad,9
08b02Wd.wav,happy,3
08b03Fe.wav,fear,3
08b03Lc.wav,boredom,5
08b03Nb.wav,neutral,4
08b03Tc.wav,sad,11
08b03Wd.wav,happy,4
08b09Ab.wav,angry,3
08b09Fd.wav,fear,2
08b09Lc.wav,boredom,4
08b09Nb.wav,neutral,2
08b09Tb.wav,sad,8
08b09Wa.wav,happy,3
08b09Wc.wav,happy,3
08b10Aa.wav,angry,2
08b10Fd.wav,fear,2
08b10La.wav,boredom,2
08b10Nc.wav,neutral,2
08b10Tc.wav,sad,5
08b10Wa.wav,happy,3
09a01Ea.wav,disgust,2
09a01Fa.wav,fear,1
09a01Nb.wav,neutral,1
09a01Wb.wav,happy,1
09a02Ea.wav,disgust,2
09a02Eb.wav,disgust,1
09a02La.wav,boredom,1
09a02Wb.wav,happy,1
09a04Fd.wav,fear,1
09a04La.wav,boredom,1
09a04Nb.wav,neutral,1
09a04Wa.wav,happy,1
09a05Ed.wav,disgust,5
09a05Lc.wav,boredom,3
09a05Nb.wav,neutral,3
09a05Tb.wav,sad,4
09a05Wb.wav,happy,3
09a05Wc.wav,happy,3
09a07Eb.wav,disgust,3
09a07Na.wav,neutral,1
09a07Ta.wav,sad,1
09a07Wb.wav,happy,1
09a07Wd.wav,happy,2
09b01Ea.wav,disgust,4
09b01Na.wav,neutral,2
09b01Wb.wav,happy,1
09b02Na.wav,neutral,2
09b02Tb.wav,sad,3
09b02Wc.wav,happy,2
09b02Wd.wav,happy,2
09b03Ed.wav,disgust,5
09b03Fa.wav,fear,3
09b03Fd.wav,fear,3
09b03Lb.wav,boredom,4
09b03Nb.wav,neutral,4
09b03Ta.wav,sad,4
09b03Wb.wav,happy,4
09b09Ea.wav,disgust,4
09b09Nd.wav,neutral,2
09b09Wa.wav,happy,2
09b10Aa.wav,angry,1
09b10Nd.wav,neutral,2
09b10Wa.wav,happy,1
10a01Ac.wav,angry,1
10a01Nb.wav,neutral,1
10a01Wa.wav,happy,1
10a02Ab.wav,angry,1
10a02Fa.wav,fear,1
10a02Lb.wav,boredom,1
10a02Na.wav,neutral,1
10a02Wa.wav,happy,1
10a04Fd.wav,fear,1
10a04Nb.wav,neutral,1
10a04Wa.wav,happy,2
10a04Wb.wav,happy,1
10a05Aa.wav,angry,2
10a05Ld.wav,boredom,3
10a05Tb.wav,sad,3
10a05Wb.wav,happy,4
10a07Aa.wav,angry,1
10a07Ad.wav,angry,1
10a07La.wav,boredom,1
10a07Ta.wav,sad,1
10a07Wb.wav,happy,1
10b01Aa.wav,angry,1
10b01Ea.wav,disgust,2
10b01Fa.wav,fear,2
10b01Lb.wav,boredom,1
10b02Aa.wav,angry,2
10b02La.wav,boredom,2
10b02Na.wav,neutral,2
10b02Wb.wav,happy,2
10b03La.wav,boredom,4
10b03Tb.wav,sad,4
10b03Wb.wav,happy,5
10b09Ad.wav,angry,1
10b09Lb.wav,boredom,3
10b09Wb.wav,happy,3
10b10Fc.wav,fear,2
10b10Lc.wav,boredom,2
10b10Wa.wav,happy,2
11a01Aa.wav,angry,1
11a01Ab.wav,angry,1
11a01Ld.wav,boredom,1
11a01Nd.wav,neutral,1
11a01Wc.wav,happy,1
11a02Ec.wav,disgust,1
11a02Fb.wav,fear,1
11a02Ld.wav,boredom,1
11a02Nc.wav,neutral,1
11a02Tc.wav,sad,1
11a02Wc.wav,happy,2
11a04Ac.wav,angry,1
11a04Fd.wav,fear,1
11a04Nd.wav,neutral,1
